step,generated_image_token_id,source_length,top_source_pos,top_source_group,top_source_token_id,top_source_token,top_source_weight,max_group,prompt_text_mass,prompt_wrapper_mass,generated_image_prefix_mass,prompt_top1_ratio,prompt_top5_ratio,prompt_effective_token_count,prompt_effective_fraction
1,1352,55,50,prompt_wrapper,185,Ċ,0.39320942759513855,prompt_wrapper,0.14941783249378204,0.8505228608846664,0.0,0.06417388058413957,0.23011717756224756,35.26412213199124,0.7346692110831509
2,7530,56,0,prompt_wrapper,100601,<|User|>,0.38931840658187866,prompt_wrapper,0.1047111302614212,0.8262594789266586,0.06901590526103973,0.07400432454182376,0.25992106212497573,32.88570549250862,0.6851188644272629
3,16369,57,0,prompt_wrapper,100601,<|User|>,0.3698940575122833,prompt_wrapper,0.09937655925750732,0.7990458607673645,0.10165607184171677,0.07953645520320142,0.27772277242568955,31.20617740340895,0.6501286959043532
4,10764,58,50,prompt_wrapper,185,Ċ,0.3698023557662964,prompt_wrapper,0.09029977023601532,0.7768601924180984,0.13284440338611603,0.0852295422047999,0.2869675358482751,30.142635404233832,0.6279715709215382
5,5156,59,50,prompt_wrapper,185,Ċ,0.3716086447238922,prompt_wrapper,0.08762882649898529,0.7733260542154312,0.13904154300689697,0.08778641608245046,0.2886454198849077,30.06747867444542,0.626405805717613
6,11368,60,50,prompt_wrapper,185,Ċ,0.37797027826309204,prompt_wrapper,0.08567149192094803,0.7778713628649712,0.1364847719669342,0.09032890583602415,0.2922998759939551,29.757717030857393,0.6199524381428624
7,13770,61,50,prompt_wrapper,185,Ċ,0.3653053045272827,prompt_wrapper,0.08534841984510422,0.7702607586979866,0.14440134167671204,0.08567863649842941,0.28939123308387904,30.450324914885577,0.6343817690601162
8,10641,62,0,prompt_wrapper,100601,<|User|>,0.3605421483516693,prompt_wrapper,0.08250059187412262,0.7651741951704025,0.15231603384017944,0.08993000184592455,0.30089615392048547,29.41547168153954,0.6128223266987404
9,4264,63,0,prompt_wrapper,100601,<|User|>,0.3642900288105011,prompt_wrapper,0.07684025913476944,0.758880577981472,0.16426366567611694,0.09887384766794415,0.31943189999345506,27.847999287655128,0.5801666518261485
10,1386,64,0,prompt_wrapper,100601,<|User|>,0.35833460092544556,prompt_wrapper,0.07541055977344513,0.7529128640890121,0.17163437604904175,0.10551108667012994,0.33561845090330084,26.641383870873575,0.5550288306431995
11,143,65,0,prompt_wrapper,100601,<|User|>,0.35482895374298096,prompt_wrapper,0.07412125170230865,0.7424023002386093,0.1834907829761505,0.10196055923041185,0.32760806627326283,27.325606288873274,0.5692834643515265
12,6002,66,0,prompt_wrapper,100601,<|User|>,0.35008949041366577,prompt_wrapper,0.07402744144201279,0.7410015240311623,0.18495962023735046,0.10226058282200871,0.31797490789614724,27.746842439699176,0.5780592174937328
13,15440,67,50,prompt_wrapper,185,Ċ,0.34564730525016785,prompt_wrapper,0.07369092106819153,0.728552907705307,0.19779926538467407,0.10755014747294105,0.3289248923324181,26.721305261168588,0.5566938596076789
14,1338,68,50,prompt_wrapper,185,Ċ,0.35049185156822205,prompt_wrapper,0.07285989075899124,0.724891297519207,0.20222394168376923,0.09952279936300815,0.32028239031263545,27.79125743621189,0.5789845299210811
15,4212,69,50,prompt_wrapper,185,Ċ,0.3579894006252289,prompt_wrapper,0.0726228579878807,0.7320306673645973,0.19534336030483246,0.099230381055218,0.3249067816389709,27.48768594844404,0.5726601239259175
16,7606,70,50,prompt_wrapper,185,Ċ,0.35244160890579224,prompt_wrapper,0.07122315466403961,0.7249350994825363,0.20378467440605164,0.10526051686244235,0.3407977061345836,26.337583851486237,0.5486996635726299
17,1345,71,50,prompt_wrapper,185,Ċ,0.34972259402275085,prompt_wrapper,0.0693512111902237,0.7279208153486252,0.2027490735054016,0.10682819282689751,0.34516142929184085,26.01333579771926,0.5419444957858179
18,16012,72,0,prompt_wrapper,100601,<|User|>,0.3498697578907013,prompt_wrapper,0.07007767260074615,0.7336652725934982,0.1962999403476715,0.1056921035682109,0.3398601970344258,26.3726570783258,0.5494303557984542
19,8703,73,0,prompt_wrapper,100601,<|User|>,0.35290515422821045,prompt_wrapper,0.07095636427402496,0.7307014316320419,0.19831933081150055,0.10781389488976965,0.33217263804178293,26.485867812333836,0.551788912756955
20,7606,74,0,prompt_wrapper,100601,<|User|>,0.3594649136066437,prompt_wrapper,0.06942124664783478,0.7372920960187912,0.19322583079338074,0.10745092171106561,0.33675016061068336,25.91598718212388,0.5399163996275809
21,1028,75,0,prompt_wrapper,100601,<|User|>,0.3504489064216614,prompt_wrapper,0.06567765027284622,0.730761282145977,0.20355387032032013,0.11534949101570542,0.35345262478439,24.494007513660204,0.5102918232012542
22,8718,76,50,prompt_wrapper,185,Ċ,0.34184905886650085,prompt_wrapper,0.06643063575029373,0.7222397848963737,0.21137595176696777,0.11006761283910163,0.349042845643684,25.017073590577976,0.5211890331370411
23,14739,77,50,prompt_wrapper,185,Ċ,0.34250396490097046,prompt_wrapper,0.06472446024417877,0.718202754855156,0.2170720398426056,0.10890624478397452,0.3490933180771183,25.33436313341014,0.5277992319460446
24,8004,78,0,prompt_wrapper,100601,<|User|>,0.34529849886894226,prompt_wrapper,0.06546708196401596,0.7204522266983986,0.21407507359981537,0.10588811590237814,0.33936372255655417,26.34050826210817,0.5487605887939202
25,11199,79,0,prompt_wrapper,100601,<|User|>,0.35174864530563354,prompt_wrapper,0.06757776439189911,0.7113845497369766,0.22112998366355896,0.1044987248810216,0.3387811580291978,26.384443544298726,0.5496759071728902
26,11276,80,0,prompt_wrapper,100601,<|User|>,0.35332080721855164,prompt_wrapper,0.06419771909713745,0.7152684926986694,0.22052766382694244,0.10321385016976786,0.34107869206793684,26.06436454821435,0.5430075947544656
27,8129,81,0,prompt_wrapper,100601,<|User|>,0.33897078037261963,prompt_wrapper,0.06210754066705704,0.6969096884131432,0.24097810685634613,0.10786399824710684,0.34962295162401136,25.265117377304886,0.5263566120271851
28,13508,82,50,prompt_wrapper,185,Ċ,0.3306926488876343,prompt_wrapper,0.06187307834625244,0.6844792366027832,0.25363704562187195,0.11846325963963478,0.36717198123804257,23.52037047100187,0.49000771814587224
29,6696,83,50,prompt_wrapper,185,Ċ,0.33396512269973755,prompt_wrapper,0.06304685771465302,0.6945739537477493,0.24240073561668396,0.11876920791594807,0.3648338230911205,23.61299139642423,0.49193732075883817
