prompt_index,absolute_position,token_id,token,mean_attention,normalized_prompt_share,times_top1_within_prompt
0,2,28222,Ġroman,0.0005324955563992262,0.012029546312987804,0
1,3,15213,Ġtemple,0.0006196877802722156,0.013999296352267265,0
2,4,22204,Ġruin,0.0005602735909633338,0.012657077051699162,0
3,5,11,",",0.007155151106417179,0.1616411954164505,576
4,6,2838,Ġsoft,0.0004437375464476645,0.010024424642324448,0
5,7,14518,Ġgrey,0.0004042322398163378,0.009131964296102524,0
6,8,285,Ġand,0.0014753344003111124,0.033329110592603683,0
7,9,5501,Ġblue,0.0005035244394093752,0.011375063098967075,0
8,10,3892,Ġnatural,0.0003914694534614682,0.008843641728162766,0
9,11,2156,Ġlight,0.000514425802975893,0.011621334590017796,0
10,12,11,",",0.004303206689655781,0.0972132533788681,0
11,13,1267,Ġcre,0.00038209641934372485,0.00863189622759819,0
12,14,48853,pus,0.0004552674072328955,0.01028489414602518,0
13,15,11001,cular,0.00036566524067893624,0.008260701783001423,0
14,16,24321,Ġrays,0.0005209019291214645,0.011767636053264141,0
15,17,11,",",0.0031584061216562986,0.07135119289159775,0
16,18,44215,Ġintricate,0.00033748592250049114,0.007624106016010046,0
17,19,11,",",0.002137789037078619,0.048294547945261,0
18,20,6583,Ġdigital,0.0006122578633949161,0.013831447809934616,0
19,21,14445,Ġpainting,0.0007782483589835465,0.01758131943643093,0
20,22,11,",",0.002159042516723275,0.048774681985378265,0
21,23,25302,Ġillustration,0.0003518480225466192,0.007948558777570724,0
22,24,11,",",0.0018610575934872031,0.042042940855026245,0
23,25,2460,Ġart,0.0003687579883262515,0.008330569602549076,0
24,26,457,Ġby,0.0007154002087190747,0.016161523759365082,0
25,27,72410,Ġgreg,0.00045421707909554243,0.010261165909469128,0
26,28,38081,Ġrut,0.0003870686050504446,0.008744223043322563,0
27,29,81743,kowski,0.0006569544784724712,0.01484118402004242,0
28,30,285,Ġand,0.001311608823016286,0.029630405828356743,0
29,31,46870,Ġlu,0.00033410050673410296,0.00754762627184391,0
30,32,262,is,0.0003347201563883573,0.0075616249814629555,0
31,33,5913,Ġroll,0.00023488231818191707,0.005306199658662081,0
32,34,78,o,0.00048484819126315415,0.010953149758279324,0
33,35,285,Ġand,0.0011478697415441275,0.02593139372766018,0
34,36,2644,Ġu,0.0003757850208785385,0.008489316329360008,0
35,37,673,ang,0.0003390555502846837,0.007659565191715956,0
36,38,1243,Ġgu,0.0003018351271748543,0.0068187229335308075,0
37,39,673,ang,0.00020034117915201932,0.00452588452026248,0
38,40,73,j,0.00034445786150172353,0.007781608030200005,0
39,41,997,ian,0.000331242335960269,0.007483057677745819,0
40,42,285,Ġand,0.0010985562112182379,0.02481735870242119,0
41,43,307,Ġg,0.00035794160794466734,0.008086217567324638,0
42,44,296,il,0.00023693554976489395,0.005352584179490805,0
43,45,466,Ġel,0.0005206677014939487,0.011762344278395176,0
44,46,33504,vg,0.0003435547696426511,0.007761206477880478,0
45,47,1165,ren,0.0002551119541749358,0.005763205233961344,0
46,48,11,",",0.0027029202319681644,0.06106136366724968,0
47,49,12754,Ġsymmetry,0.00040319893741980195,0.009108621627092361,0
