step,generated_image_token_id,rank,prompt_index,absolute_position,token_id,token,attention
1,1352,1,3,5,11,",",0.009588722139596939
1,1352,2,19,21,14445,Ġpainting,0.0068925307132303715
1,1352,3,10,12,11,",",0.006815739907324314
1,1352,4,27,29,81743,kowski,0.005610992666333914
1,1352,5,9,11,2156,Ġlight,0.005475625395774841
1,1352,6,2,4,22204,Ġruin,0.0054569244384765625
1,1352,7,15,17,11,",",0.005403981078416109
1,1352,8,46,48,11,",",0.005295929964631796
1,1352,9,1,3,15213,Ġtemple,0.00526037672534585
1,1352,10,17,19,11,",",0.004618734121322632
2,7530,1,3,5,11,",",0.007749076467007399
2,7530,2,10,12,11,",",0.005714684724807739
2,7530,3,46,48,11,",",0.005148394964635372
2,7530,4,15,17,11,",",0.004576529376208782
2,7530,5,19,21,14445,Ġpainting,0.004027942195534706
2,7530,6,9,11,2156,Ġlight,0.0037513738498091698
2,7530,7,17,19,11,",",0.003436354221776128
2,7530,8,14,16,24321,Ġrays,0.003427922260016203
2,7530,9,7,9,5501,Ġblue,0.0033522716257721186
2,7530,10,22,24,11,",",0.0032784149516373873
3,16369,1,3,5,11,",",0.007904059253633022
3,16369,2,10,12,11,",",0.005750437267124653
3,16369,3,46,48,11,",",0.0050961715169250965
3,16369,4,15,17,11,",",0.004483228083699942
3,16369,5,9,11,2156,Ġlight,0.004365235101431608
3,16369,6,14,16,24321,Ġrays,0.00414974195882678
3,16369,7,19,21,14445,Ġpainting,0.0036184394266456366
3,16369,8,17,19,11,",",0.0034951476845890284
3,16369,9,22,24,11,",",0.0031125049572438
3,16369,10,7,9,5501,Ġblue,0.0030188460368663073
4,10764,1,3,5,11,",",0.007696208078414202
4,10764,2,10,12,11,",",0.005431000608950853
4,10764,3,46,48,11,",",0.00485297990962863
4,10764,4,15,17,11,",",0.004264883231371641
4,10764,5,14,16,24321,Ġrays,0.00366803165525198
4,10764,6,9,11,2156,Ġlight,0.0035710264928638935
4,10764,7,17,19,11,",",0.0034345421008765697
4,10764,8,19,21,14445,Ġpainting,0.0032217667903751135
4,10764,9,22,24,11,",",0.0029611827339977026
4,10764,10,20,22,11,",",0.0029198816046118736
5,5156,1,3,5,11,",",0.007692620623856783
5,5156,2,10,12,11,",",0.005160198546946049
5,5156,3,46,48,11,",",0.004711309913545847
5,5156,4,15,17,11,",",0.004185873083770275
