step,generated_token_id,generated_token,source_length,top_source_pos,top_source_group,top_source_token_id,top_source_token,top_source_weight,max_group,image_mass,prompt_mass,context_other_mass,generated_prefix_mass,prompt_top1_ratio,prompt_top5_ratio,prompt_effective_token_count,prompt_effective_fraction
1,785,The,220,0,context_other,151644,<|im_start|>,0.4064042866230011,context_other,0.21162961423397064,0.10481468588113785,0.7884376049041748,0.0,0.393646455083239,1.0,2.926502011675965,0.975500670558655
2,2168,Ġimage,221,0,context_other,151644,<|im_start|>,0.44613635540008545,context_other,0.20019228756427765,0.0938940942287445,0.6808364987373352,0.11895746737718582,0.527187680424102,1.0,2.5658615380584577,0.8552871793528193
3,374,Ġis,222,0,context_other,151644,<|im_start|>,0.43993672728538513,context_other,0.1753733605146408,0.06500644981861115,0.6334198117256165,0.19115832448005676,0.5592506514026676,1.0,2.4390341168241,0.8130113722747
4,264,Ġa,223,0,context_other,151644,<|im_start|>,0.4412020444869995,context_other,0.15194201469421387,0.04383676499128342,0.6196562051773071,0.22833152115345,0.4555541514812776,1.0,2.809654262120385,0.936551420706795
5,3015,Ġwater,224,0,context_other,151644,<|im_start|>,0.42564019560813904,context_other,0.18621793389320374,0.034711576998233795,0.5564865469932556,0.2573713958263397,0.5029503688524503,1.0,2.6561245090610592,0.8853748363536864
6,3423,color,225,0,context_other,151644,<|im_start|>,0.47548776865005493,context_other,0.16140824556350708,0.01992136798799038,0.6116915345191956,0.22702062129974365,0.4868417644807677,1.0,2.707157605111534,0.9023858683705113
7,18824,Ġpainting,226,0,context_other,151644,<|im_start|>,0.4128882586956024,context_other,0.17056894302368164,0.025444604456424713,0.5199121236801147,0.30945447087287903,0.5099887866213662,1.0,2.630534044504421,0.8768446815014737
8,315,Ġof,227,0,context_other,151644,<|im_start|>,0.3707467317581177,context_other,0.1489991843700409,0.02822812646627426,0.49342191219329834,0.35755664110183716,0.48702317276438056,1.0,2.6944780009969027,0.8981593336656343
9,264,Ġa,228,0,context_other,151644,<|im_start|>,0.38856273889541626,context_other,0.16605952382087708,0.023396214470267296,0.5050258636474609,0.32897287607192993,0.4477151717170961,1.0,2.806564795912777,0.9355215986375923
10,1697,Ġperson,229,0,context_other,151644,<|im_start|>,0.39366742968559265,context_other,0.18023526668548584,0.01673378050327301,0.493367075920105,0.3264516592025757,0.4675203809489886,1.0,2.769414225132748,0.9231380750442493
11,448,Ġwith,230,0,context_other,151644,<|im_start|>,0.4107050597667694,context_other,0.15554362535476685,0.01460346020758152,0.5222111344337463,0.32223743200302124,0.46915374188809356,1.0,2.768181295425201,0.922727098475067
12,68103,Ġcurly,231,0,context_other,151644,<|im_start|>,0.393764853477478,context_other,0.17135292291641235,0.012100467458367348,0.4906042814254761,0.33799734711647034,0.3944931176381217,1.0,2.9503378632263746,0.9834459544087916
13,6869,Ġhair,232,0,context_other,151644,<|im_start|>,0.42090073227882385,context_other,0.18779802322387695,0.008247166872024536,0.513092577457428,0.2991049587726593,0.38632414293406186,1.0,2.9578925993654197,0.9859641997884733
