step,generated_token_id,generated_token,rank,prompt_index,absolute_position,token_id,token,attention
1,1567,This,1,0,620,41800,Describe,0.027480851858854294
1,1567,This,2,2,622,3324,Ġimage,0.02603495493531227
1,1567,This,3,1,621,437,Ġthis,0.017646968364715576
2,3324,Ġimage,1,2,622,3324,Ġimage,0.04335096850991249
2,3324,Ġimage,2,1,621,437,Ġthis,0.013288370333611965
2,3324,Ġimage,3,0,620,41800,Describe,0.010387926362454891
3,317,Ġis,1,2,622,3324,Ġimage,0.02510935626924038
3,317,Ġis,2,0,620,41800,Describe,0.010079216212034225
3,317,Ġis,3,1,621,437,Ġthis,0.008325399830937386
4,245,Ġa,1,2,622,3324,Ġimage,0.017177490517497063
4,245,Ġa,2,0,620,41800,Describe,0.00839164573699236
4,245,Ġa,3,1,621,437,Ġthis,0.006119260098785162
5,92150,Ġwatercolor,1,2,622,3324,Ġimage,0.01338387094438076
5,92150,Ġwatercolor,2,0,620,41800,Describe,0.004923761356621981
5,92150,Ġwatercolor,3,1,621,437,Ġthis,0.003227348905056715
6,14445,Ġpainting,1,2,622,3324,Ġimage,0.008655636571347713
6,14445,Ġpainting,2,0,620,41800,Describe,0.003052177606150508
6,14445,Ġpainting,3,1,621,437,Ġthis,0.002075410448014736
7,280,Ġof,1,2,622,3324,Ġimage,0.00891914777457714
7,280,Ġof,2,0,620,41800,Describe,0.003920569084584713
7,280,Ġof,3,1,621,437,Ġthis,0.0030078748241066933
8,245,Ġa,1,2,622,3324,Ġimage,0.006063186563551426
8,245,Ġa,2,0,620,41800,Describe,0.0032301589380949736
8,245,Ġa,3,1,621,437,Ġthis,0.0024725680705159903
9,2823,Ġyoung,1,2,622,3324,Ġimage,0.004602743312716484
9,2823,Ġyoung,2,0,620,41800,Describe,0.0024292184971272945
9,2823,Ġyoung,3,1,621,437,Ġthis,0.001786908134818077
10,4247,Ġwoman,1,2,622,3324,Ġimage,0.002865883056074381
10,4247,Ġwoman,2,0,620,41800,Describe,0.002026550006121397
10,4247,Ġwoman,3,1,621,437,Ġthis,0.0012685875408351421
11,366,Ġwith,1,2,622,3324,Ġimage,0.0041150921024382114
11,366,Ġwith,2,0,620,41800,Describe,0.0024320015218108892
11,366,Ġwith,3,1,621,437,Ġthis,0.0014873158652335405
12,57590,Ġcurly,1,2,622,3324,Ġimage,0.0024236415047198534
12,57590,Ġcurly,2,0,620,41800,Describe,0.002021283842623234
12,57590,Ġcurly,3,1,621,437,Ġthis,0.001327604055404663
13,5539,Ġhair,1,2,622,3324,Ġimage,0.001680727582424879
13,5539,Ġhair,2,0,620,41800,Describe,0.0016277357935905457
13,5539,Ġhair,3,1,621,437,Ġthis,0.0009635640890337527
14,13,.,1,2,622,3324,Ġimage,0.00214961520396173
14,13,.,2,0,620,41800,Describe,0.0017724342178553343
14,13,.,3,1,621,437,Ġthis,0.0010437878081575036
15,429,ĠThe,1,2,622,3324,Ġimage,0.004461462143808603
15,429,ĠThe,2,0,620,41800,Describe,0.004028267227113247
